,mean,std,percentile_99,percentile_1,all_zeros,cv,kurtosis,skewness
compute_herdans_v,0.8505104185407842,0.01988248636930844,0.8942247265359483,0.7926075295093203,False,0.02337712264997377,1.5666937950755422,-0.6629495286094261
compute_brunets_w,13.7192685787558,0.9047577559700415,16.60477274190811,11.871340451341835,False,0.06594795857929724,3.885495586152179,1.103310400410662
tuldava_ln_ttr,0.8505104185407842,0.01988248636930844,0.8942247265359483,0.7926075295093203,False,0.02337712264997377,1.5666937950755422,-0.6629495286094261
simpsons_index,0.9831629368144672,0.003906651818528931,0.9896272050139039,0.9713421465138841,False,0.003973554811969235,11.462255713338413,-1.9632403512196812
sichel_s_measure,13.422531977699613,2.1919094299424517,18.16989892934382,8.066373990160907,False,0.16330074188566818,0.19339735444358386,-0.25303228013473095
orlov_sigma,8.868263421910793,2.777857190913005,17.35963380386064,2.7473502784864725,False,0.3132357552719692,8.861172089803915,1.260198741041715
pos_frequencies_pos_frequencies_ADJ,0.07717149203774912,0.01807453689735215,0.12433199790514117,0.037396757426571885,False,0.2342126142709646,0.8716744492475916,0.28868228905961013
pos_frequencies_pos_frequencies_ADP,0.11885448327898457,0.01799130718281093,0.15960693927408093,0.0737704918032786,False,0.15137255816072434,0.928010491731861,-0.2595727453176537
pos_frequencies_pos_frequencies_ADV,0.04262067939909671,0.01138727812386814,0.07142138906844786,0.01672204133164992,False,0.26717730182662175,0.7823724146757258,0.21146770393173234
pos_frequencies_pos_frequencies_AUX,0.05551009750951428,0.014705245125207685,0.09192859598707347,0.01735385286048716,False,0.26491117445231016,0.9027074519563336,0.061380398235944975
pos_frequencies_pos_frequencies_CCONJ,0.03503014286245425,0.009464524739640108,0.06059502793253396,0.01447203364816994,False,0.2701823049024532,1.1443439129705792,0.44680523111211784
pos_frequencies_pos_frequencies_DET,0.10606335433223382,0.02115135350738931,0.15604550016728005,0.05184403747151656,False,0.19942187988072313,1.1923226274276573,-0.25007224907180886
pos_frequencies_pos_frequencies_INTJ,0.00043188691565755366,0.0012652739478751706,0.004775099375012303,0.0,False,2.92964176964883,308.83952850069653,12.878424119960544
pos_frequencies_pos_frequencies_NOUN,0.2040905396519137,0.04081061374936454,0.3064165319857502,0.120586148434174,False,0.19996328011562425,0.2479596419027592,0.3394675955819058
pos_frequencies_pos_frequencies_NUM,0.014443022991723908,0.013466479688587702,0.06276743143711201,0.0007818565146368602,False,0.932386502209698,30.73438084074774,4.1466045393957405
pos_frequencies_pos_frequencies_PART,0.020846336549629384,0.008351971933156519,0.04280509462056976,0.00370685244224032,False,0.4006445887157571,0.4858173772726144,0.39891231712487607
pos_frequencies_pos_frequencies_PRON,0.05239563152772651,0.024452588581920905,0.11829153756188365,0.0098957973705396,False,0.4666913608815113,0.22424608810885438,0.641703981371528
pos_frequencies_pos_frequencies_PROPN,0.042240719039979696,0.03698866913229095,0.16419010621253644,0.00057170727849138,False,0.8756638138020846,11.367873727885193,2.273560296090043
pos_frequencies_pos_frequencies_PUNCT,0.11373259492957473,0.029250203373717587,0.22144642222404515,0.06199374405004754,False,0.2571839971806661,7.412460751837701,1.750776935311178
pos_frequencies_pos_frequencies_SCONJ,0.019871441162024706,0.007903859945163157,0.04135476166230008,0.0032722463086498,False,0.397749709279658,0.5574511229035322,0.43893315702481306
pos_frequencies_pos_frequencies_SYM,0.0015435619139105396,0.0035387878656394727,0.016733070383498062,0.0,False,2.292611545897841,41.34205039704535,5.201725111960628
pos_frequencies_pos_frequencies_VERB,0.09279857625387046,0.016377244861229788,0.1321293800539083,0.04806499701848532,False,0.1764816392918175,1.7706702800938334,-0.27703506551205664
pos_frequencies_pos_frequencies_X,0.0023554396439554167,0.02093047555315573,0.04659308811882894,0.0,False,8.886016505185347,987.5998555078957,26.801652118226972
yules_k_characteristic,161.36559162428827,38.91141660659177,275.10723864234194,96.41082576824203,False,0.24113825143832546,11.757894466185489,1.954714420662775
honores_r,2134.498685258316,358.9275724616117,3084.0834629520646,1400.168707857536,False,0.1681554432150772,0.24190753366442275,0.359020246255254
renyis_entropy,5.926391778502002,0.30824628126419074,6.5910516009784255,5.124925642031122,False,0.05201247112658915,1.360483045355342,-0.4469462462988769
perplexity,1.0036208283200208,0.0023479617490732236,1.013097251458105,1.0011791295546753,False,0.0023394908543334235,45.359950491641165,5.181398202413273
burstiness,1.006184702074754,0.05761629293629143,1.2012858026873747,0.9067329904997758,False,0.057262143637730294,7.411354274140157,1.7343137090600251
hapax_dislegomena_rate,0.05018742010231315,0.009433528147638558,0.08010912190963339,0.03098812889306148,False,0.1879659908480485,4.032478175458711,1.0304752099181185
dugast_vmi,186.7866545540306,58.18939147459747,332.1675759840915,66.6719610996011,False,0.3115286347064233,0.7128888414686503,0.2920941757155386
average_word_length,4.3610798296129625,0.30900490399550556,5.125062671048625,3.6772201041605896,False,0.0708551358994337,0.400113839283621,0.24516299125694457
prosodic_patterns,16.692784881278058,8.324455289865686,45.21764689978806,7.284781664189577,False,0.4986858303794505,155.8328627180326,7.724204074931538
compute_inversion_frequencies_classic_inversion,0.19454556825718738,0.08434748534714881,0.4444444444444444,0.037692307692307685,False,0.433561587152899,1.6006201925851755,0.8683772015021223
compute_inversion_frequencies_expletive_inversion,0.06279602942506654,0.04891107297662483,0.2159837256611452,0.0,False,0.7788879874162999,2.9354811584948397,1.2561269967373287
compute_inversion_frequencies_emphatic_inversion,0.003645634663944063,0.009506775346736336,0.0416666666666666,0.0,False,2.6077147665836997,18.83678568193407,3.665442168671695
clauses_per_sentence,2.967294603094777,1.0515489845780013,6.196842105263161,1.0769230769230769,False,0.3543797044894953,18.600969276572904,2.099403894750831
modifiers_per_noun_phrase,0.9788689914141772,0.17080353558371913,1.3556464691139616,0.5587820224501738,False,0.17449070006493758,0.5123624575351431,-0.20269824415084092
coordinated_phrases_per_sentence,1.0495855551706332,0.5233555504128163,2.6755405405405406,0.3,False,0.49863067172997955,173.177881299908,6.712577741858188
coordinate_phrases_ratio,0.5570099173867569,0.10507235730383971,0.7997560975609759,0.2903225806451613,False,0.18863642104756867,0.7115265213253332,-0.18242518908999836
sentence_length_variation,16.692784881278058,8.324455289865686,45.21764689978806,7.284781664189577,False,0.4986858303794505,155.8328627180326,7.724204074931538
clause_length_variation,10.06022296457928,3.234313959524511,19.588963375227948,5.755226263400354,False,0.32149525620973857,72.95371246105962,5.6788359125813495
